adhyaya,pada,sutra_number,sutra_text,adhikarana
1,3,23,ॐ आपि स्मर्यते ॐ,अनुकृत्यधिकरणम्
1,3,24,ॐ शब्दादेव प्रमितः ॐ,वामनाधिकरणम्
1,3,25,ॐ हृद्यपेक्षया तु मनुष्याधिकारत्वात् ॐ,वामनाधिकरणम्
1,3,26,ॐ तदुपर्यपि बादरायणः सम्भवात् ॐ,देवताधिकरणम्
1,3,27,ॐ विरोधः कर्मणेति चेन्नानेकप्रतिपत्तेर्दर्शनात् ॐ,देवताधिकरणम्
1,3,28,ॐ शब्द इति चेन्नातः प्रभवात् प्रत्यक्षानुमानाभ्याम् ॐ,देवताधिकरणम्
1,3,29,ॐ अत एव च नित्यत्वम् ॐ,देवताधिकरणम्
1,3,30,ॐ समाननामरूपत्वाच्चावृत्तावप्यविरोधो दर्शनात् स्मृतेश्च ॐ,देवताधिकरणम्
1,3,31,ॐ मध्वादिष्वसम्भवादनधिकारं जैमिनिः ॐ,देवताधिकरणम्
1,3,32,ॐ ज्योतिषि भावाच्च ॐ,देवताधिकरणम्
1,3,33,ॐ भावं तु बादरायणोऽस्ति हि ॐ,देवताधिकरणम्
1,3,34,ॐ शुगस्य तदनादरश्रवणात् तदाऽऽद्रवणात् सूच्यते हि ॐ,अपशूद्राधिकरणम्
1,3,35,ॐ क्षत्रियत्वावगतेश्चोत्तरत्र चैत्ररथेन लिङ्गात् ॐ,अपशूद्राधिकरणम्
1,3,36,ॐ संस्कारपरामर्शात् तदभावाभिलापाच्च ॐ,अपशूद्राधिकरणम्
1,3,37,ॐ तदभावनिर्धारणे च प्रवृत्तेः ॐ,अपशूद्राधिकरणम्
1,3,38,ॐ श्रवणाध्ययनार्थप्रतिषेधात् स्मृतेश्च ॐ,अपशूद्राधिकरणम्
1,3,39,ॐ कम्पनात् ॐ,कम्पनाधिकरणम्
1,3,40,ॐ ज्योतिर्दर्शनात् ॐ,ज्योतिरधिकरणम्
1,3,41,ॐ आकाशोऽर्थान्तरत्वादिव्यपदेशात् ॐ,आकाशाधिकरणम्
1,3,42,ॐ सुषुप्त्युत्क्रान्त्योर्भेदेन ॐ,सुषुप्त्यधिकरणम्
1,3,43,ॐ पत्यादिशब्देभ्यः ॐ,ब्राह्मणाधिकरणम्
1,4,1,ॐ आनुमानिकमप्येकेषामिति चेन्न शरीररूपकविन्यस्तगृहीतेर्दशर्यति च ॐ,अनुमानिकाधिकरणम्
1,4,2,ॐ सूक्ष्मं तु तदर्हत्वात् ॐ,अनुमानिकाधिकरणम्
1,4,3,ॐ तदधीनत्वादर्थवत् ॐ,अनुमानिकाधिकरणम्
1,4,4,ॐ ज्ञेयत्वावचनाच्च ॐ,अनुमानिकाधिकरणम्
1,4,5,ॐ वदतीती चेन्न प्राज्ञो हि ॐ,अनुमानिकाधिकरणम्
1,4,6,ॐ प्रकरणात् ॐ,अनुमानिकाधिकरणम्
1,4,7,ॐ त्रयाणामेव चैवमुपन्यासः प्रश्नश्च ॐ,अनुमानिकाधिकरणम्
1,4,8,ॐ महद्वच्च ॐ,अनुमानिकाधिकरणम्
1,4,9,ॐ चमसवदविशेषात् ॐ,अनुमानिकाधिकरणम्
1,4,10,ॐ ज्योतिरुपक्रमात् तु तथा ह्यधीयत एके ॐ,ज्योतिरुपक्रमाधिकरणम्
1,4,11,ॐ कल्पनोपदेशाच्च मध्वादिवदविरोधः ॐ,ज्योतिरुपक्रमाधिकरणम्
1,4,12,ॐ न सङ्ख्योपसङ्ग्रहादपि नानाभावादतिरेकाच्च ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
1,4,13,ॐ प्राणादयो वाक्यशेषात् ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
1,4,14,ॐ ज्योतिषैकेषामसत्यन्ने ॐ,नसङ्ख्योपसङ्ग्रहाधिकरणम्
1,4,15,ॐ कारणत्वेन चाकाशादिषु यथाव्यपदिष्टोक्तेः ॐ,आकाशाधिकरणम्
1,4,16,ॐ समाकर्षात् ॐ,समाकर्षाधिकरणम्
1,4,17,ॐ जगद्वाचित्वात् ॐ,समाकर्षाधिकरणम्
1,4,18,ॐ जीवमुख्यप्राणलिङ्गादिति चेत् तद्व्याख्यातम् ॐ,समाकर्षाधिकरणम्
1,4,19,ॐ अन्यार्थं तु जैमिनिः प्रश्नव्याख्यानाभ्यामपि चैवमेके ॐ,समाकर्षाधिकरणम्
1,4,20,ॐ वाक्यान्वयात् ॐ,समाकर्षाधिकरणम्
1,4,21,ॐ प्रतिज्ञासिद्धेर्लिङ्गमाश्मरथ्यः ॐ,समाकर्षाधिकरणम्
1,4,22,ॐ उत्क्रमिष्यत एवम्भावादित्यौडुलोमिः ॐ,समाकर्षाधिकरणम्
1,4,23,ॐ अवस्थितेरिति काशकृत्स्नः ॐ,समाकर्षाधिकरणम्
1,4,24,ॐ प्रकृतिश्च प्रतिज्ञादृष्टान्तानुपरोधात् ॐ,प्रकृत्यधिकरणम्
1,4,25,ॐ अभिध्योपदेशाच्च ॐ,प्रकृत्यधिकरणम्
1,4,26,ॐ साक्षाच्चोभयाम्नानात् ॐ,प्रकृत्यधिकरणम्
1,4,27,ॐ आत्मकृतेः परिणामात् ॐ,प्रकृत्यधिकरणम्
1,4,28,ॐ योनिश्च हि गीयते ॐ,प्रकृत्यधिकरणम्
1,4,29,ॐ एतेन सर्वे व्याख्याता व्याख्याताः ॐ,सर्वेव्याख्याताधिकरणम्
2,1,1,ॐ स्मृत्यनवकाशदोषप्रसङ्ग इति चेन्नान्यस्मृत्यनवकाशदोषप्रसङ्गात् ॐ,स्मृत्यधिकरणम्
2,1,2,ॐ इतरेषां चानुपलब्धेः ॐ,स्मृत्यधिकरणम्
2,1,3,ॐ एतेन योगः प्रत्युक्तः ॐ,स्मृत्यधिकरणम्
2,1,4,ॐ न विलक्षणत्वादस्य तथात्वं च शब्दात् ॐ,नविलक्षणत्वाधिकरणम्
2,1,5,ॐ दृश्यते तु ॐ,नविलक्षणत्वाधिकरणम्
2,1,6,ॐ अभिमानिव्यपदेशस्तु विशेषानुगतिभ्याम् ॐ,अभिमान्यधिकरणम्
2,1,7,ॐ दृश्यते च ॐ,अभिमान्यधिकरणम्
2,1,8,ॐ असदिति चेन्न प्रतिषेधमात्रत्वात् ॐ,असदधिकरणम्
2,1,9,ॐ अपीतौ तद्वत्प्रसङ्गादसमञ्जसम् ॐ,असदधिकरणम्
2,1,10,ॐ न तु दृष्टान्तभावात् ॐ,असदधिकरणम्
2,1,11,ॐ स्वपक्षदोषाच्च ॐ,असदधिकरणम्
2,1,12,ॐ तर्काप्रतिष्ठानादप्यन्यथाऽनुमेयमिति चेदेवमप्यनिर्मोक्षप्रसङ्गः ॐ,असदधिकरणम्
2,1,13,ॐ एतेन शिष्टापरिग्रहा अपि व्याख्याताः ॐ,असदधिकरणम्
2,1,14,ॐ भोक्त्रापत्तेरविभागश्चेत् स्याल्लोकवत् ॐ,भोक्त्राधिकरणम्
2,1,15,ॐ तदनन्यत्वमारम्भणशब्दादिभ्यः ॐ,आरम्भणाधिकरणम्
2,1,16,ॐ भावे चोपलब्देः ॐ,आरम्भणाधिकरणम्
2,1,17,ॐ सत्वाच्चावरस्य ॐ,आरम्भणाधिकरणम्
2,1,18,ॐ असद्व्यपदेशान्नेति चेन्न धर्मान्तरेण वाक्यशेषात् ॐ,आरम्भणाधिकरणम्
2,1,19,ॐ युक्तेः शब्दान्तराच्च ॐ,आरम्भणाधिकरणम्
2,1,20,ॐ पटवच्च ॐ,आरम्भणाधिकरणम्
2,1,21,ॐ यथा प्राणादिः ॐ,आरम्भणाधिकरणम्
2,1,22,ॐ इतरव्यपदेशाद्धिताकरणादिदोषप्रसक्तिः ॐ,इतरव्यपदेशाधिकरणम्
2,1,23,ॐ अधिकं तु भेदनिर्देशात् ॐ,इतरव्यपदेशाधिकरणम्
2,1,24,ॐ अश्मादिवच्च तदनुपपत्तिः ॐ,इतरव्यपदेशाधिकरणम्
2,1,25,ॐ उपसंहारदर्शनान्नेति चेन्न क्षीरवद्धि ॐ,इतरव्यपदेशाधिकरणम्
2,1,26,ॐ देवादिवदपि लोके ॐ,इतरव्यपदेशाधिकरणम्
2,1,27,ॐ कृत्स्नप्रसक्तिर्निरवयवत्वशब्दकोपो वा ॐ,इतरव्यपदेशाधिकरणम्
2,1,28,ॐ श्रुतेस्तुशब्दमूलत्वात् ॐ,शब्दमूलत्वाधिकरणम्
2,1,29,ॐ आत्मनि चैवं विचित्राश्च हि ॐ,शब्दमूलत्वाधिकरणम्
2,1,30,ॐ स्वपक्षदोषाच्च ॐ,शब्दमूलत्वाधिकरणम्
2,1,31,ॐ सर्वोपेता च तद्दर्शनात् ॐ,शब्दमूलत्वाधिकरणम्
2,1,32,ॐ विकरणत्वान्नेति चेत् तदुक्तम् ॐ,शब्दमूलत्वाधिकरणम्
2,1,33,ॐ न प्रयोजनवत्त्वात् ॐ,नप्रयोजनाधिकरणम्
2,1,34,ॐ लोकवत्तुलीलाकैवल्यम् ॐ,नप्रयोजनाधिकरणम्
2,1,35,ॐ वैषम्यनैर्घृण्ये न सापेक्षत्वात् तथा हि दर्शयति ॐ,वैषम्यनैर्घृण्याधिकरणम्
2,1,36,ॐ न कर्माविभागादिति चेन्नानादित्वात् ॐ,वैषम्यनैर्घृण्याधिकरणम्
2,1,37,ॐ उपपद्यते चाप्युपलभ्यते च ॐ,वैषम्यनैर्घृण्याधिकरणम्
2,1,38,ॐ सर्वधर्मोपपत्तेश्च ॐ,सर्वधर्मोपपत्यधिकरणम्
2,2,1,ॐ रचनानुपपत्तेश्च नानुमानम् ॐ,रचनानुपपत्त्यधिकरणम्
2,2,2,ॐ प्रवृत्तेश्च ॐ,रचनानुपपत्त्यधिकरणम्
2,2,3,ॐ पयोऽम्बुवच्चेत् तत्रापि ॐ,रचनानुपपत्त्यधिकरणम्
2,2,4,ॐ व्यतिरेकानवस्थितेश्चानपेक्षत्वात् ॐ,रचनानुपपत्त्यधिकरणम्
2,2,5,ॐ अन्यत्राभावाच्च न तृणादिवत् ॐ,अन्यत्रभावाधिकरणम्
2,2,6,ॐ अभ्युपगमेऽप्यर्थाभावात् ॐ,अभ्युपगमाधिकरणम्
2,2,7,ॐ पुरुषाश्मवदिति चेत् तथाऽपि ॐ,पुरुषाश्माधिकरणम्
2,2,8,ॐ अङ्गीत्वानुपपतेः ॐ,पुरुषाश्माधिकरणम्
2,2,9,ॐ अन्यथाऽनुमितौ च ज्ञशक्तिवियोगात् ॐ,अन्यथानुमित्यधिकरणम्
2,2,10,ॐ विप्रतिषेधाच्चासमञ्जसम् ॐ,अन्यथानुमित्यधिकरणम्
2,2,11,ॐ महद्दीर्घवद्वा ह्रस्वपरिमण्डलाभ्याम् ॐ,वैशेषिकाधिकरणम्
2,2,12,ॐ उभयथाऽपि न कर्मातस्तदभावः ॐ,वैशेषिकाधिकरणम्
2,2,13,ॐ समवायाभ्युपगमाच्च साम्यादनवस्थितेः ॐ,वैशेषिकाधिकरणम्
2,2,14,ॐ नित्यमेव च भावात् ॐ,वैशेषिकाधिकरणम्
2,2,15,ॐ रूपादिमत्त्वाच्चविपर्ययो दर्शनात् ॐ,वैशेषिकाधिकरणम्
2,2,16,ॐ उभयथा च दोषात् ॐ,वैशेषिकाधिकरणम्
2,2,17,ॐ अपरिग्रहाच्चात्यन्तमनपेक्षा ॐ,वैशेषिकाधिकरणम्
2,2,18,ॐ समुदाय उभयहेतुकेऽपि तदप्राप्तिः ॐ,समुदायाधिकरणम्
2,2,19,ॐ इतरेतरप्रत्ययात्वादिति चेन्न उत्पत्तिमात्रनिमित्तत्वात् ॐ,समुदायाधिकरणम्
2,2,20,ॐ उत्तरोत्पादे च पूर्वनिरोधात् ॐ,समुदायाधिकरणम्
2,2,21,ॐ असति प्रतिज्ञोपरोधो यौगपद्यमन्यथा ॐ,समुदायाधिकरणम्
2,2,22,ॐ प्रतिसङ्ख्याऽप्रतिसङ्ख्यानिरोधप्राप्तिरविच्छेदात् ॐ,समुदायाधिकरणम्
2,2,23,ॐ उभयथा च दोषात् ॐ,समुदायाधिकरणम्
2,2,24,ॐ आकाशे चाविशेषात् ॐ,समुदायाधिकरणम्
2,2,25,ॐ अनुस्मृतेश्च ॐ,समुदायाधिकरणम्
2,2,26,ॐ नासतोऽदृष्टत्वात् ॐ,असदधिकरणम्
2,2,27,ॐ उदासीनानामपि चैवं सिद्धिः ॐ,असदधिकरणम्
2,2,28,ॐ नाभाव उपलब्धेः ॐ,असदधिकरणम्
2,2,29,ॐ वैधर्म्याच्च न स्वप्नादिवत् ॐ,असदधिकरणम्
2,2,30,ॐ न भावोऽनुपलब्धेः ॐ,अनुपलब्द्यधिकरणम्
2,2,31,ॐ क्षणिकत्वाच्च ॐ,अनुपलब्द्यधिकरणम्
2,2,32,ॐ सर्वथाऽनुपपत्तेश्च ॐ,अनुपलब्द्यधिकरणम्
2,2,33,ॐ नैकस्मिन्नसम्भवात् ॐ,नैकस्मिन्नधिकरणम्
2,2,34,ॐ एवञ्चात्माकार्त्स्न्यम् ॐ,नैकस्मिन्नधिकरणम्
2,2,35,ॐ न च पर्यायादप्यविरोधो विकारादिभ्यः ॐ,नैकस्मिन्नधिकरणम्
2,2,36,ॐ अन्त्यावस्थितेश्चोभयनित्यत्वादविशेषात् ॐ,नैकस्मिन्नधिकरणम्
2,2,37,ॐ पत्युरसामञ्जस्यात् ॐ,पत्युरधिकरणम्
2,2,38,ॐ सम्बन्धानुपपत्तेश्च ॐ,पत्युरधिकरणम्
2,2,39,ॐ अधिष्ठानानुपपत्तेश्च ॐ,पत्युरधिकरणम्
2,2,40,ॐ करणवच्चेन्न भोगादिभ्यः ॐ,पत्युरधिकरणम्
2,2,41,ॐ अन्तवत्त्वमसर्वज्ञता वा ॐ,पत्युरधिकरणम्
2,2,42,ॐ उत्पत्यसम्भवात् ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
2,2,43,ॐ न च कर्तुः करणम् ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
2,2,44,ॐ विज्ञानादिभावे वा तदप्रतिषेधः ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
2,2,45,ॐ विप्रतिषेधाच्च ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
2,3,1,ॐ न वियदश्रुतेः ॐ,वियदधिकरणम्
2,3,2,ॐ अस्तितु ॐ,वियदधिकरणम्
2,3,3,ॐ गौण्यसम्भवात् ॐ,वियदधिकरणम्
2,3,4,ॐ शब्दाच्च ॐ,वियदधिकरणम्
2,3,5,ॐ स्याच्चैकस्य ब्रह्मशब्दवत् ॐ,वियदधिकरणम्
2,3,6,ॐ प्रतिज्ञाहानिरव्यतिरेकाच्छब्देभ्यः ॐ,वियदधिकरणम्
2,3,7,ॐ यावद्विकारं तु विभागो लोकवत् ॐ,वियदधिकरणम्
2,3,8,ॐ एतेन मातरिश्वा व्याख्यातः ॐ,मातरिश्वाधिकरणम्
2,3,9,ॐ असम्भवस्तु सतोऽनुपपत्तेः ॐ,असम्भवाधिकरणम्
2,3,10,ॐ तेजोऽतस्तथा ह्याह ॐ,तेजोऽधिकरणम्
2,3,11,ॐ आपः ॐ,अबधिकरणम्
2,3,12,ॐ पृथिव्यधिकाररूपशब्दान्तरादिभ्यः ॐ,पृथिव्यधिकरणम्
2,3,13,ॐ तदभिध्यानादेव तु तल्लिङ्गात् सः ॐ,तदभिध्यानाधिकरणम्
2,3,14,ॐ विपर्ययेण तु क्रमोऽत उपपद्यते च ॐ,विपर्ययाधिकरणम्
2,3,15,ॐ अन्तरा विज्ञानमनसी क्रमेण तल्लिङ्गादिति चेन्नाविशेषात् ॐ,अन्तराधिकरणम्
2,3,16,ॐ चराचरव्यपाश्रयस्तु स्यात् तद्व्यपदेशो भाक्तस्तद्भावभावित्वात् ॐ,अन्तराधिकरणम्
2,3,17,ॐ नात्माऽश्रुतेर्नित्यत्वाच्च ताभ्यः ॐ,आत्माधिकरणम्
2,3,18,ॐ ज्ञोऽत एव ॐ,ज्ञाधिकरणम्
2,3,19,ॐ युक्तेश्च ॐ,ज्ञाधिकरणम्
2,3,20,ॐ उत्क्रान्तिगत्यागतीनाम् ॐ,उत्क्रान्त्यधिकरणम्
2,3,21,ॐ स्वात्मना चोत्तरयोः ॐ,उत्क्रान्त्यधिकरणम्
2,3,22,ॐ नाणुरतच्छ्रुतेरिति चेन्नेतराधिकारात् ॐ,उत्क्रान्त्यधिकरणम्
2,3,23,ॐ स्वशब्दोन्मानाभ्यां च ॐ,उत्क्रान्त्यधिकरणम्
2,3,24,ॐ अविरोधश्चन्दनवत् ॐ,उत्क्रान्त्यधिकरणम्
2,3,25,ॐ अवस्थितिवैशेष्यादिति चेन्नाभ्युपगमाद्धृदि हि ॐ,उत्क्रान्त्यधिकरणम्
2,3,26,ॐ गुणाद्वाऽऽलोकवत् ॐ,उत्क्रान्त्यधिकरणम्
2,3,27,ॐ व्यतिरेको गन्धवत् तथा च दर्शयति ॐ,व्यतिरेकाधिकरणम्
2,3,28,ॐ पृथगुपदेशात् ॐ,पृथगुपदेशाधिकरणम्
2,3,29,ॐ तद्गुणसारत्वात् तु तद्व्यपदेशः प्राज्ञवत् ॐ,पृथगुपदेशाधिकरणम्
2,3,30,ॐ यावदात्माभावित्वाच्च न दोषस्तद्दर्शनात् ॐ,यावदधिकरणम्
2,3,31,ॐ पुंस्त्वादिवत्त्वस्यसतोऽभिव्यक्तियोगात् ॐ,पुंस्त्वाधिकरणम्
2,3,32,ॐ नित्योपलब्ध्यनुपलब्धिप्रसङ्गोऽन्यतरनियमो वाऽन्यथा ॐ,पुंस्त्वाधिकरणम्
2,3,33,ॐ कर्ता शास्त्रार्थवत्त्वात् ॐ,कर्तृत्वाधिकरणम्
2,3,34,ॐ विहारोपदेशात् ॐ,कर्तृत्वाधिकरणम्
2,3,35,ॐ उपादानात् ॐ,कर्तृत्वाधिकरणम्
2,3,36,ॐ व्यपदेशाच्च क्रियायां न चेन्निर्देशविपर्ययः ॐ,कर्तृत्वाधिकरणम्
2,3,37,ॐ उपलब्धिवदनियमः ॐ,कर्तृत्वाधिकरणम्
2,3,38,ॐ शक्तिविपर्ययात् ॐ,कर्तृत्वाधिकरणम्
2,3,39,ॐ समाध्यभावाच्च ॐ,कर्तृत्वाधिकरणम्
2,3,40,ॐ यथा च तक्षोभयथा ॐ,कर्तृत्वाधिकरणम्
2,3,41,ॐ परात् तु तच्छ्रुतेः ॐ,कर्तृत्वाधिकरणम्
2,3,42,ॐ कृतप्रयत्नापेक्षस्तुविहितप्रतिषेधावैयर्थ्यादिभ्यः ॐ,कर्तृत्वाधिकरणम्
2,3,43,ॐ अंशो नानाव्यपदेशादन्यथा चापि दाशकितवादित्वमधीयत एके ॐ,अंशाधिकरणम्
2,3,44,ॐ मन्त्रवर्णात् ॐ,अंशाधिकरणम्
